Output Column,Canonical Owners,Owner Count,Collision Type,Status,Notes
KELTNER_WIDTH,keltner_width,1,NONE,PASS,No shared canonical output name.
KLINGER_OSCILLATOR,klinger_oscillator,1,NONE,PASS,No shared canonical output name.
KLINGER_SIGNAL,klinger_oscillator,1,NONE,PASS,No shared canonical output name.
KST,kst,1,NONE,PASS,No shared canonical output name.
KST_SIGNAL,kst,1,NONE,PASS,No shared canonical output name.
LAGUERRE_RSI,laguerre_rsi,1,NONE,PASS,No shared canonical output name.
LINEAR_REGRESSION_LOWER,linear_regression_channel,1,NONE,PASS,No shared canonical output name.
LINEAR_REGRESSION_MIDDLE,linear_regression_channel,1,NONE,PASS,No shared canonical output name.
LINEAR_REGRESSION_SLOPE,linear_regression_slope,1,NONE,PASS,No shared canonical output name.
LINEAR_REGRESSION_TREND,linear_regression_trend,1,NONE,PASS,No shared canonical output name.
LINEAR_REGRESSION_UPPER,linear_regression_channel,1,NONE,PASS,No shared canonical output name.
LIQUIDITY_SWEEP_HIGH,liquidity_sweep,1,NONE,PASS,No shared canonical output name.
LIQUIDITY_SWEEP_LEVEL,liquidity_sweep,1,NONE,PASS,No shared canonical output name.
LIQUIDITY_SWEEP_LOW,liquidity_sweep,1,NONE,PASS,No shared canonical output name.
MACD,macd,1,NONE,PASS,No shared canonical output name.
MACD_HISTOGRAM,macd,1,NONE,PASS,No shared canonical output name.
MACD_SIGNAL,macd,1,NONE,PASS,No shared canonical output name.
MARKET_STRUCTURE_TREND,market_structure,1,NONE,PASS,No shared canonical output name.
MASS_INDEX,mass_index,1,NONE,PASS,No shared canonical output name.
MA_ENVELOPE_LOWER,moving_average_envelope,1,NONE,PASS,No shared canonical output name.
MA_ENVELOPE_MIDDLE,moving_average_envelope,1,NONE,PASS,No shared canonical output name.
MA_ENVELOPE_UPPER,moving_average_envelope,1,NONE,PASS,No shared canonical output name.
MCGINLEY_DYNAMIC,mcginley_dynamic,1,NONE,PASS,No shared canonical output name.
MEDIAN_ABSOLUTE_DEVIATION,median_absolute_deviation,1,NONE,PASS,No shared canonical output name.
MFI,mfi,1,NONE,PASS,No shared canonical output name.
MINUS_DI,minus_di,1,NONE,PASS,No shared canonical output name.
MOMENTUM,momentum,1,NONE,PASS,No shared canonical output name.
MONEY_FLOW_OSCILLATOR,money_flow_oscillator,1,NONE,PASS,No shared canonical output name.
MONEY_FLOW_VOLUME,money_flow_volume,1,NONE,PASS,No shared canonical output name.
MOVING_STD_LOWER,moving_std_channel,1,NONE,PASS,No shared canonical output name.
MOVING_STD_MIDDLE,moving_std_channel,1,NONE,PASS,No shared canonical output name.
MOVING_STD_UPPER,moving_std_channel,1,NONE,PASS,No shared canonical output name.
NEGATIVE_VOLUME_INDEX,negative_volume_index,1,NONE,PASS,No shared canonical output name.
NET_VOLUME,net_volume,1,NONE,PASS,No shared canonical output name.
NORMALIZED_ATR,normalized_atr,1,NONE,PASS,No shared canonical output name.
OBV,obv,1,NONE,PASS,No shared canonical output name.
ORDER_BLOCK_BEARISH,order_block,1,NONE,PASS,No shared canonical output name.
ORDER_BLOCK_BULLISH,order_block,1,NONE,PASS,No shared canonical output name.
ORDER_BLOCK_LOWER,order_block,1,NONE,PASS,No shared canonical output name.
ORDER_BLOCK_UPPER,order_block,1,NONE,PASS,No shared canonical output name.
PARABOLIC_SAR,parabolic_sar,1,NONE,PASS,No shared canonical output name.
PARABOLIC_SAR_DIRECTION,parabolic_sar,1,NONE,PASS,No shared canonical output name.
PARKINSON_VOLATILITY,parkinson_volatility,1,NONE,PASS,No shared canonical output name.
PIVOT,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_R1,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_R2,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_R3,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_S1,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_S2,pivot_points,1,NONE,PASS,No shared canonical output name.
PIVOT_S3,pivot_points,1,NONE,PASS,No shared canonical output name.
PLUS_DI,plus_di,1,NONE,PASS,No shared canonical output name.
POSITIVE_VOLUME_INDEX,positive_volume_index,1,NONE,PASS,No shared canonical output name.
PPO,ppo,1,NONE,PASS,No shared canonical output name.
PPO_HISTOGRAM,ppo,1,NONE,PASS,No shared canonical output name.
PPO_SIGNAL,ppo,1,NONE,PASS,No shared canonical output name.
PRETTY_GOOD_OSCILLATOR,pretty_good_oscillator,1,NONE,PASS,No shared canonical output name.
PRICE_CHANNEL_LOWER,price_channels,1,NONE,PASS,No shared canonical output name.
PRICE_CHANNEL_MIDDLE,price_channels,1,NONE,PASS,No shared canonical output name.
PRICE_CHANNEL_UPPER,price_channels,1,NONE,PASS,No shared canonical output name.
