framework,category,row_count,mode,instrumentation_enabled,warmup_runs,measured_runs,mean_ms,median_ms,minimum_ms,maximum_ms,standard_deviation_ms,p90_ms,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms,memory_bytes,repeated_indicator_calculations
volume_expansion_breakout,breakout,1000,stateless,False,1,5,348.8579800352454,348.49600004963577,337.03200006857514,362.3288000235334,8.083949639004707,357.2826000163332,1.376580004580319,6.736600026488304,229.5326400315389,0.0,0.0,0.0,0.0,0.0,18.730160500854254,20.912419352680445,18.858579359948635,0.0090199522674083,1701031,0
vwap_mean_reversion,mean_reversion,1000,stateless,False,1,5,292.1436399919912,289.00959994643927,281.2059000134468,306.7251000320539,9.462207941195995,303.69522001128644,1.103799999691546,5.769960000179708,182.7001197030768,0.0,0.0,0.0,0.0,0.0,17.517460300587118,19.873980106785893,17.915660119615495,0.0080999918282032,1695028,0
williams_r_reversal,mean_reversion,1000,stateless,False,1,5,430.5164800025522,424.32929994538426,414.8875999962911,459.9608000135049,17.007979722190104,451.2856000335887,1.1468600016087294,6.310080038383603,306.64498028345406,0.0,0.0,0.0,0.0,0.0,22.16889986302704,23.503860435448587,21.60376044921577,0.0083999941125512,1695043,0
zscore_mean_reversion,mean_reversion,1000,stateless,False,1,5,289.9365399964154,285.4460999369621,282.1885000448674,308.5138000315055,9.822885122538914,301.53664003591985,1.083940058015287,6.007359968498349,177.4888989282772,0.0,0.0,0.0,0.0,0.0,17.94288088567555,20.603140676394105,18.624540721066296,0.0081200152635574,1697028,0
adx_trend_following,trend_following,1000,stateful,False,1,5,328.6331200040877,336.67550003156066,306.55759992077947,345.009500044398,15.773558093539018,343.79434001166373,1.2054999824613333,5.913920025341213,194.6745992871001,0.0,0.0,0.0,0.0,0.0,19.12648007273674,23.06663985364139,18.884099856950343,0.1864199759438634,2809031,0
aroon_trend,trend_following,1000,stateful,False,1,5,354.5739799970761,361.2956000724808,331.00639993790537,371.1066999239847,15.72461729037401,369.9401399819181,1.1691800085827708,6.223219982348383,216.1510810488835,0.0,0.0,0.0,0.0,0.0,19.80445936787873,24.0067609352991,19.74050097633153,0.1856599934399128,2801037,0
atr_volatility_breakout,breakout,1000,stateful,False,1,5,326.8559800228104,323.6787999048829,305.8628001017496,349.04850006569177,17.288731405256264,347.19566002022475,1.2467999942600727,6.032960000447929,191.5545205818489,0.0,0.0,0.0,0.0,0.0,19.21713901683688,23.168761027045548,19.01648105122149,0.181660009548068,2813031,0
bollinger_mean_reversion,mean_reversion,1000,stateful,False,1,5,204.7810799907893,205.03209996968508,197.04490003641692,212.78149995487183,5.786499344419468,211.34089997503904,1.0883800452575088,5.914039979688823,80.32900008838624,0.0,0.0,0.0,0.0,0.0,16.352660208940506,20.616919524036348,16.41671950928867,0.1871400279924273,2814025,0
bollinger_squeeze_breakout,breakout,1000,stateful,False,1,5,340.4630200006068,340.3436000226065,316.4346000412479,354.2712000198662,13.827869504172444,354.09671999514103,1.2371999910101297,6.2340599950402975,197.79415999073532,0.0,0.0,0.0,0.0,0.0,20.41479975450784,23.96531905978918,19.903559051454067,0.2362800296396017,2936738,0
cci_trend_pullback,momentum,1000,stateful,False,1,5,466.23911999631673,459.28050007205456,440.5086999759078,508.8520999997854,22.789217301000644,491.12309999763966,1.1940000113099811,6.472279969602823,314.1636794200167,0.0,0.0,0.0,0.0,0.0,24.03370111715049,26.761480467393994,22.470300481654704,0.2494999673217535,2920251,0
chandelier_exit_trend,trend_following,1000,stateful,False,1,5,358.7180799804628,352.8022000100464,352.23219997715205,373.7258000764996,8.424758136057742,369.18528000824153,1.2426200089976192,6.053279992192984,216.0983793437481,0.0,0.0,0.0,0.0,0.0,20.03848059102893,24.065418890677392,19.52941888011992,0.2534599741920829,2811037,0
