Strategy ID,Strategy Name,Strategy Source,Template Type,Pair,Timeframe,SL %,TP %,ROI %,Profit Factor,Total PnL %,Win Rate %,Max Drawdown %,Trades,Expectancy,Runtime Seconds,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
TRD001_EMA20_100_RSI14_PB40_SL1P0_TP2P0,Generated Trend EMA 20/100 RSI 14,GENERATED,trend,BTCUSDT,15m,1.5,4.0,-7.02,0.96,-2.5,26.99,-20.72,163.0,-4.31,31.33,12.0,0.0,8.996666666666666,9.64,8.149999999999999,38.78666666666666
TRD001_EMA20_100_RSI14_PB40_SL1P0_TP3P0,Generated Trend EMA 20/100 RSI 14,GENERATED,trend,BTCUSDT,15m,1.5,4.0,-7.02,0.96,-2.5,26.99,-20.72,163.0,-4.31,227.84,12.0,0.0,8.996666666666666,9.64,8.149999999999999,38.78666666666666
bollinger_atr_filter,Bollinger + ATR Volatility Filter,FIXED,fixed,XRPUSDT,15m,2.5,2.0,-72.6,0.89,-110.0,52.36,-82.72,764.0,-9.5,41.12,11.125,0.0,17.453333333333333,0.0,10.0,38.57833333333333
PLB001_EMA20_200_RSI14_BUY35_SL1P0_TP2P0,Generated Pullback EMA 20/200 RSI 35,GENERATED,pullback,XRPUSDT,15m,1.5,4.0,-0.63,1.0,8.5,27.78,-36.78,306.0,-0.21,31.4,12.5,4.25,9.26,1.6100000000000003,10.0,37.62
PLB001_EMA20_200_RSI14_BUY35_SL1P0_TP3P0,Generated Pullback EMA 20/200 RSI 35,GENERATED,pullback,XRPUSDT,15m,1.5,4.0,-0.63,1.0,8.5,27.78,-36.78,306.0,-0.21,31.39,12.5,4.25,9.26,1.6100000000000003,10.0,37.62
supertrend_ema_atr,SuperTrend + EMA + ATR SL,FIXED,fixed,XRPUSDT,15m,1.0,4.0,4.77,1.01,14.0,20.6,-37.79,466.0,1.02,40.91,12.625,7.000000000000001,6.866666666666667,1.1050000000000004,10.0,37.596666666666664
HYB001_EMA20_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.2,GENERATED,hybrid,BTCUSDT,15m,2.0,3.0,-15.04,0.91,-12.0,38.36,-27.91,146.0,-10.3,40.8,11.375,0.0,12.786666666666665,6.045,7.3,37.50666666666666
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP2P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,BTCUSDT,15m,1.5,4.0,-9.79,0.95,-5.5,26.67,-23.08,165.0,-5.93,30.62,11.875,0.0,8.89,8.46,8.25,37.475
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP3P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,BTCUSDT,15m,1.5,4.0,-9.79,0.95,-5.5,26.67,-23.08,165.0,-5.93,31.08,11.875,0.0,8.89,8.46,8.25,37.475
bollinger_atr_filter,Bollinger + ATR Volatility Filter,FIXED,fixed,BTCUSDT,15m,2.0,2.0,-31.9,0.91,-30.0,48.22,-47.66,421.0,-7.58,40.68,11.375,0.0,16.073333333333334,0.0,10.0,37.44833333333334
