Rows,Framework,Preparation Ms,Alignment Ms,Framework Decision Ms,Controller Ms,Policy Ms,Serialization Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,State Column Memory Bytes,Instrumentation Enabled,Repeated Indicator Calculations
10000,ichimoku_cloud_trading,2.5719,63.854633,955.298797,771.042367,715.5584,39.356033,2753.413733,3631.855,3,1,22427251,True,0
10000,inside_bar_breakout,2.577367,67.1371,1059.852135,758.564367,702.661333,40.428933,2810.259233,3558.391,3,1,22808746,True,0
10000,keltner_channel_breakout,2.464833,63.071933,1130.2107,765.8496,709.0525,40.7713,2906.2059,3440.912,3,1,21719032,True,0
10000,macd_momentum,3.0206,65.5645,1080.890936,770.048067,713.376167,40.680767,2876.434333,3476.526,3,1,21609032,True,0
10000,opening_range_breakout,2.893233,66.611033,2697.413771,821.7131,755.042933,48.908167,4623.723133,2162.759,3,1,22868743,True,0
10000,parabolic_sar_trend,2.5718,65.2786,974.091834,758.6547,702.528233,40.293933,2734.421167,3657.081,3,1,21669032,True,0
10000,rsi_pullback_trend,3.397267,72.157133,1028.669865,843.8723,783.290733,43.600133,2970.181333,3366.798,3,1,22788747,True,0
10000,supertrend_trend_following,2.849,64.348867,1219.894998,786.849533,731.4707,39.3887,3054.0204,3274.372,3,1,22358841,True,0
10000,support_resistance_bounce,2.5088,69.703267,1314.717231,799.767167,744.657333,39.332533,3157.790533,3166.771,3,1,23188771,True,0
10000,triple_screen_trading,4.684833,195.296733,1422.833265,842.391467,779.991967,45.065,4025.3788,2484.238,3,1,25072751,True,0
10000,turtle_trading,4.1906,188.7767,1527.7348,1521.740867,1431.172033,62.5293,4763.111133,2099.468,3,1,21619032,True,0
10000,vwap_mean_reversion,2.4844,66.4605,982.466661,760.845267,704.5528,40.576667,2747.221767,3640.041,3,1,21669032,True,0
10000,zscore_mean_reversion,2.724533,66.443967,916.641794,761.7525,705.6096,40.298867,2688.632067,3719.364,3,1,21689032,True,0
