Strategy,Pair,Train Start,Train End,Test Start,Test End,Train ROI,Test ROI,Train Win Rate,Test Win Rate,Train PF,Test PF,Walk Forward Score,Status
EMA 200 Filter + MACD Cross,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-24.81,4.85,37.41,46.0,0.78,1.11,100.0,PASS
EMA 200 Filter + MACD Cross,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,55.32,-4.54,32.73,26.32,1.23,0.92,57.27,FAIL
EMA 200 Filter + MACD Cross,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,12.47,-3.64,29.22,26.19,1.07,0.92,63.9,FAIL
EMA 200 Filter + MACD Cross,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-1.79,6.76,27.59,30.43,0.99,1.14,100.0,PASS
EMA 200 Filter + MACD Cross,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,52.7,0.54,24.63,20.55,1.24,1.01,61.51,FAIL
EMA 200 Filter + MACD Cross,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,9.47,-0.88,21.35,20.0,1.06,0.98,66.53,FAIL
EMA 200 Filter + MACD Cross,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,14.18,-9.36,21.91,16.33,1.09,0.76,56.04,FAIL
EMA 20/50 Cross + RSI Filter,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,10.7,-2.86,27.59,24.19,1.12,0.94,62.9,FAIL
EMA 20/50 Cross + RSI Filter,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,18.47,1.24,36.55,34.21,1.13,1.03,67.82,FAIL
EMA 20/50 Cross + RSI Filter,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,13.19,-18.56,45.35,28.21,1.09,0.51,44.94,FAIL
EMA 20/50 Cross + RSI Filter,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,63.66,-4.46,39.49,32.39,1.24,0.94,59.46,FAIL
EMA 20/50 Cross + RSI Filter,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,6.22,5.72,21.03,22.06,1.04,1.11,97.59,PASS
EMA 20/50 Cross + RSI Filter,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,3.18,-12.87,25.68,19.67,1.02,0.71,56.55,FAIL
EMA 20/50 Cross + RSI Filter,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,40.61,-12.01,20.47,11.9,1.21,0.65,47.96,FAIL
EMA 20/50 Cross + RSI Filter,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,7.21,-7.34,17.83,12.9,1.04,0.72,55.4,FAIL
