Rows,Framework,Mode,Preparation Ms,Alignment Ms,Framework Decision Ms,Controller Ms,Policy Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,Approximate Input Memory Bytes,Decision Series Memory Bytes,Repeated Indicator Calculations,Phase 24.5 10000-Row Baseline Ms
1000,pivot_range_breakout,stateful_policy,1.451133,7.200367,287.499632,0.0,0.0,514.809533,1942.466,3,1,643000,2281643,0,2916.6099250499997
1000,price_channel_trend,stateful_policy,1.4316,6.288033,267.729233,0.0,0.0,491.191533,2035.866,3,1,643000,2166037,0,2916.6099250499997
1000,rsi_pullback_trend,stateful_policy,1.498967,6.868867,250.277433,0.0,0.0,485.978233,2057.705,3,1,643000,2277746,0,2916.6099250499997
1000,stochastic_pullback_trend,stateful_policy,1.626833,9.9621,474.403634,0.0,0.0,757.238233,1320.588,3,1,643000,2291209,0,2916.6099250499997
1000,supertrend_trend_following,stateful_policy,1.441933,6.454633,280.817299,0.0,0.0,522.576433,1913.596,3,1,643000,2254820,0,2916.6099250499997
1000,support_resistance_bounce,stateful_policy,1.503533,6.685733,289.233167,0.0,0.0,528.510167,1892.111,3,1,643000,2336751,0,2916.6099250499997
1000,triple_screen_trading,stateful_policy,3.312367,19.328767,299.6656,0.0,0.0,600.611167,1664.971,3,1,910488,2504435,0,2916.6099250499997
1000,turtle_trading,stateful_policy,1.488267,6.5258,168.8803,0.0,0.0,384.380667,2601.588,3,1,643000,2161031,0,2916.6099250499997
1000,volume_expansion_breakout,stateful_policy,1.325833,6.1331,272.485033,0.0,0.0,482.907233,2070.791,3,1,643000,2291633,0,2916.6099250499997
1000,vwap_mean_reversion,stateful_policy,1.661,6.948633,238.126633,0.0,0.0,458.3928,2181.535,3,1,643000,2166031,0,2916.6099250499997
1000,williams_r_reversal,stateful_policy,1.3964,6.420133,376.377901,0.0,0.0,606.838267,1647.886,3,1,643000,2279245,0,2916.6099250499997
1000,zscore_mean_reversion,stateful_policy,1.357733,6.6376,228.482433,0.0,0.0,444.9861,2247.261,3,1,643000,2168031,0,2916.6099250499997
1000,adx_trend_following,stateful_policy_instrumented,1.372367,6.101167,241.834468,88.4015,81.556133,457.988267,2183.462,3,1,643000,2166031,0,2916.6099250499997
1000,aroon_trend,stateful_policy_instrumented,1.5724,6.969367,274.673532,95.2348,87.930467,511.475267,1955.129,3,1,643000,2158037,0,2916.6099250499997
1000,atr_volatility_breakout,stateful_policy_instrumented,1.351967,6.371467,237.902069,89.1586,82.257967,455.8439,2193.733,3,1,643000,2170031,0,2916.6099250499997
1000,bollinger_mean_reversion,stateful_policy_instrumented,1.5406,6.396233,127.395501,89.307667,82.484367,345.8351,2891.551,3,1,643000,2171025,0,2916.6099250499997
1000,bollinger_squeeze_breakout,stateful_policy_instrumented,1.3811,6.2572,229.376534,87.194933,80.565633,441.426667,2265.382,3,1,643000,2293738,0,2916.6099250499997
1000,cci_trend_pullback,stateful_policy_instrumented,1.450833,6.543333,380.210999,99.6707,92.1031,613.937933,1628.829,3,1,643000,2277251,0,2916.6099250499997
1000,chandelier_exit_trend,stateful_policy_instrumented,1.471767,6.801433,275.135232,94.89,87.615333,504.750867,1981.175,3,1,643000,2168037,0,2916.6099250499997
1000,connors_rsi_mean_reversion,stateful_policy_instrumented,1.5304,7.736333,212.051034,83.119633,76.8576,428.236167,2335.16,3,1,643000,2283038,0,2916.6099250499997
1000,donchian_breakout,stateful_policy_instrumented,1.416167,8.2645,182.658833,90.5313,83.7054,403.727867,2476.916,3,1,643000,2164031,0,2916.6099250499997
1000,dual_moving_average_crossover,stateful_policy_instrumented,1.473267,6.3726,241.756567,90.110833,82.386,459.287533,2177.285,3,1,643000,2176031,0,2916.6099250499997
1000,elder_impulse_system,stateful_policy_instrumented,1.630067,6.420067,283.898468,93.3458,86.2431,512.054833,1952.916,3,1,643000,2167037,0,2916.6099250499997
1000,ema_ribbon_trend,stateful_policy_instrumented,1.391567,6.7492,238.996799,86.907467,80.067167,450.830033,2218.131,3,1,643000,2163031,0,2916.6099250499997
1000,engulfing_confirmation_trend,stateful_policy_instrumented,1.153,6.2185,267.572,92.931967,85.938267,490.4464,2038.959,3,1,643000,2297627,0,2916.6099250499997
1000,heikin_ashi_trend,stateful_policy_instrumented,1.370167,6.563133,280.426998,89.524833,82.705067,497.538933,2009.893,3,1,643000,2164037,0,2916.6099250499997
1000,ichimoku_cloud_trading,stateful_policy_instrumented,1.487967,6.438833,181.233201,89.131767,82.553433,400.503167,2496.859,3,1,643000,2241672,0,2916.6099250499997
1000,inside_bar_breakout,stateful_policy_instrumented,1.320633,8.3071,275.344332,91.955133,84.958067,497.893233,2008.463,3,1,643000,2279745,0,2916.6099250499997
1000,keltner_channel_breakout,stateful_policy_instrumented,1.387367,6.744633,257.727599,93.3975,86.243233,483.871667,2066.664,3,1,643000,2171031,0,2916.6099250499997
1000,macd_momentum,stateful_policy_instrumented,1.4529,6.470767,237.349401,85.955133,79.2672,448.457033,2229.868,3,1,643000,2160031,0,2916.6099250499997
1000,momentum_acceleration_breakout,stateful_policy_instrumented,1.3214,6.219967,271.631,95.487933,88.313567,500.130633,1999.478,3,1,643000,2301623,0,2916.6099250499997
1000,nr4_nr7_volatility_breakout,stateful_policy_instrumented,1.245533,6.3427,263.294967,91.764267,84.746567,486.3267,2056.231,3,1,643000,2295089,0,2916.6099250499997
1000,opening_range_breakout,stateful_policy_instrumented,1.378567,7.703233,490.651433,95.306533,87.345867,725.3534,1378.638,3,1,643000,2206134,0,2916.6099250499997
1000,parabolic_sar_trend,stateful_policy_instrumented,1.3907,6.813367,228.395198,87.283933,80.595433,442.5816,2259.47,3,1,643000,2166031,0,2916.6099250499997
